Class Index,Title,Description,text,clean_text,topic,topic_prob,url,source,scrape_date
3,"BBC set for major shake-up, claims newspaper","London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.","BBC set for major shake-up, claims newspaper London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday.",bbc set for major shake up claims newspaper london the british broadcasting corporation the world 39 s biggest public broadcaster is to cut almost a quarter of its 28 000 strong workforce in the biggest shake up in its 82 year history the times newspaper in london said on monday,-1,0.0005540337167883871,https://example.com/news/0,News Dataset,2025-03-09
3,Marsh averts cash crunch,Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,Marsh averts cash crunch Embattled insurance broker #39;s banks agree to waive clause that may have prevented access to credit. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,marsh averts cash crunch embattled insurance broker 39 s banks agree to waive clause that may have prevented access to credit new york reuters marsh amp mclennan cos,-1,0.0002759512336627348,https://example.com/news/1,News Dataset,2025-03-09
2,"Jeter, Yankees Look to Take Control (AP)",AP - Derek Jeter turned a season that started with a terrible slump into one of the best in his accomplished 10-year career.,"Jeter, Yankees Look to Take Control (AP) AP - Derek Jeter turned a season that started with a terrible slump into one of the best in his accomplished 10-year career.",jeter yankees look to take control ap ap derek jeter turned a season that started with a terrible slump into one of the best in his accomplished 10 year career,0,0.428214810088237,https://example.com/news/2,News Dataset,2025-03-09
4,Flying the Sun to Safety,"When the Genesis capsule comes back to Earth with its samples of the sun, helicopter pilots will be waiting for it, ready to snag it out of the sky.","Flying the Sun to Safety When the Genesis capsule comes back to Earth with its samples of the sun, helicopter pilots will be waiting for it, ready to snag it out of the sky.",flying the sun to safety when the genesis capsule comes back to earth with its samples of the sun helicopter pilots will be waiting for it ready to snag it out of the sky,24,3.1245928481157813e-308,https://example.com/news/3,News Dataset,2025-03-09
3,Stocks Seen Flat as Nortel and Oil Weigh," NEW YORK (Reuters) - U.S. stocks were set to open near  unchanged on Thursday after a warning from technology  bellwether Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.N target=/stocks/quickinfo/fullquote""&gt;NT.N&lt;/A&gt; dimmed hopes, while  stubbornly high oil prices also weighed on sentiment.","Stocks Seen Flat as Nortel and Oil Weigh  NEW YORK (Reuters) - U.S. stocks were set to open near  unchanged on Thursday after a warning from technology  bellwether Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.N target=/stocks/quickinfo/fullquote""&gt;NT.N&lt;/A&gt; dimmed hopes, while  stubbornly high oil prices also weighed on sentiment.",stocks seen flat as nortel and oil weigh new york reuters u s stocks were set to open near unchanged on thursday after a warning from technology bellwether nortel networks corp lt a href http www investor reuters com fullquote aspx ticker nt n target stocks quickinfo fullquote gt nt n lt a gt dimmed hopes while stubbornly high oil prices also weighed on sentiment,6,0.000666654127786154,https://example.com/news/4,News Dataset,2025-03-09
2,Inter Milan seeks redemption win against Juventus,"It is early in the season for a decisive match, yet Inter Milan-Juventus on Sunday is shaping up as exactly that. Serie A leader Juventus stands 15 points ahead of Inter, but both teams see the meeting as key to their season.","Inter Milan seeks redemption win against Juventus It is early in the season for a decisive match, yet Inter Milan-Juventus on Sunday is shaping up as exactly that. Serie A leader Juventus stands 15 points ahead of Inter, but both teams see the meeting as key to their season.",inter milan seeks redemption win against juventus it is early in the season for a decisive match yet inter milan juventus on sunday is shaping up as exactly that serie a leader juventus stands 15 points ahead of inter but both teams see the meeting as key to their season,1,0.00828258966815712,https://example.com/news/5,News Dataset,2025-03-09
3,Saudi Arabia cuts oil prices,Oil prices eased yesterday as top world exporter Saudi Arabia slashed prices for its westbound crude sales in an effort to shift the large volumes it is offering to cool world markets.,Saudi Arabia cuts oil prices Oil prices eased yesterday as top world exporter Saudi Arabia slashed prices for its westbound crude sales in an effort to shift the large volumes it is offering to cool world markets.,saudi arabia cuts oil prices oil prices eased yesterday as top world exporter saudi arabia slashed prices for its westbound crude sales in an effort to shift the large volumes it is offering to cool world markets,90,0.000775595273363563,https://example.com/news/6,News Dataset,2025-03-09
1,Google Cuts Its IPO Price Range,"SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering will not be as hot or big as expected, the Internet search giant slashed its estimated per-share price range and reduced the number of shares to be sold by insiders...","Google Cuts Its IPO Price Range SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering will not be as hot or big as expected, the Internet search giant slashed its estimated per-share price range and reduced the number of shares to be sold by insiders...",google cuts its ipo price range san jose calif in a sign that google inc s initial public offering will not be as hot or big as expected the internet search giant slashed its estimated per share price range and reduced the number of shares to be sold by insiders,38,2.860115090368421e-308,https://example.com/news/7,News Dataset,2025-03-09
3,FOCUS: Santander Says HBOS Counterbid To Face Problems,"LONDON (Dow Jones)--Banco Santander Central Hispano SA (STD), the Spanish bank planning to buy UK lender Abbey National PLC (ANBA), Monday attacked its potential domestic ","FOCUS: Santander Says HBOS Counterbid To Face Problems LONDON (Dow Jones)--Banco Santander Central Hispano SA (STD), the Spanish bank planning to buy UK lender Abbey National PLC (ANBA), Monday attacked its potential domestic ",focus santander says hbos counterbid to face problems london dow jones banco santander central hispano sa std the spanish bank planning to buy uk lender abbey national plc anba monday attacked its potential domestic,75,2.8344231013238473e-308,https://example.com/news/8,News Dataset,2025-03-09
4,HP Revises Cluster Plans,"HP (Quote, Chart) is dropping its efforts to port some Tru64 Unix products to HP-UX with the help of storage player Veritas . The two companies announced a multi-year agreement Thursday that finds HP #39;s sales ","HP Revises Cluster Plans HP (Quote, Chart) is dropping its efforts to port some Tru64 Unix products to HP-UX with the help of storage player Veritas . The two companies announced a multi-year agreement Thursday that finds HP #39;s sales ",hp revises cluster plans hp quote chart is dropping its efforts to port some tru64 unix products to hp ux with the help of storage player veritas the two companies announced a multi year agreement thursday that finds hp 39 s sales,47,2.9314109890919227e-308,https://example.com/news/9,News Dataset,2025-03-09
